id,term,translation,alt_translation,comments
1,П'єр-Марі,Пьер-Мари,Пьер-Мария,Ім'я
2,Яким,Яким,Ефим,Ім'я
3,Адріяна,Адрияна,Адриана,Ім'я
4,Гафійка,Гафийка,"",Ім'я
5,Дарійка,Дарийка,"",Ім'я
6,Каладжі-Бей,Каладжи-Бей,"",Ім'я
7,Навзікая,Навзикая,Навсикая,Ім'я
8,Овер'ян,Оверьян,Аверьян,Ім'я
9,Флорізель,Флоризель,"",Ім'я
10,Цірцея,Цирцея,"",Ім'я
11,Орися,Орыся,Орися,Ім'я
12,Веремій,Веремей,Еремей,Ім'я
13,Еліот,Элиот,Эллиот,Ім'я
14,Мірча,Мирча,Мирчу,Ім'я
15,Ісак,Исаак,Исак,Ім'я
16,Андріян,Андриян,Андриан,Ім'я
17,Вільям,Уильям,Вильям,Ім'я
18,Данило,Данила,Даниил,Ім'я
19,Жан-Марі,Жан-Мари,Ян-Мари,Ім'я
20,Кара-Мустафа,Кара-Мустафа,"",Ім'я
21,Марі-Клер,Мари-Клер,Мари-Клэр,Ім'я
22,Онуфрій,Онуфрий,Ануфрий,Ім'я
23,Сніжана,Снежана,Снежанна,Ім'я
24,Соломія,Соломия,"",Ім'я
25,Френсіс,Френсис,Фрэнсис,Ім'я
26,Христіан,Кристиан,Христиан,Ім'я
27,Авдій,Авдей,Авдий,Ім'я
28,Алік,Алек,Алик,Ім'я
29,Ганнуся,Ганнуся,Анна,Ім'я
30,Наталія,Наталья,Наталия,Ім'я
31,Дмитрик,Дмитрий,Дмитрик,Ім'я
32,Зоряна,Зоряна,Заряна,Ім'я
33,Левко,Левко,Леонтий,Ім'я
34,Миколка,Николай,Николка,Ім'я
35,Настуся,Настуся,Настя,Ім'я
36,Параска,Параска,Прасковья,Ім'я
37,Тетянка,Татьяна,Таня,Ім'я
38,Іванко,Иванко,Иван,Ім'я
39,Андрійко,Андрейко,Андрей,Ім'я
40,Даринка,Дарина,Даринка,Ім'я
41,Настуня,Настуня,Анастасия,Ім'я
42,Одарка,Одарка,Дарья,Ім'я
43,Опанас,Панас,Афанасий,Ім'я
44,Палажка,Палашка,Пелагея,Ім'я
45,Явдоха,Евдокия,"",Ім'я
46,Євген,Евгений,"",Ім'я
47,Єремія,Иеремия,"",Ім'я
48,Іларіон,Илларион,"",Ім'я
49,Інокентій,Иннокентий,"",Ім'я
50,Ієронім,Иероним,"",Ім'я
51,Гафія,Агафья,"",Ім'я
52,Гебріел,Гэбриэл,Габриель,Ім'я
53,Дарина,Дарина,Дарья,Ім'я
54,Демієн,Дэмиен,Демьян,Ім'я
55,Деніел,Даниель,Дениель,Ім'я
56,Дімітріс,Димитрис,"",Ім'я
57,Діонісій,Дионисий,"",Ім'я
58,Емілія,Эмилия,"",Ім'я
59,Катруся,Катерина,Екатерина,Ім'я
60,Лівіу-Дітер,Ливиу-Дитер,"",Ім'я
61,Марі-Елізабет,Мари-Элизабет,Мери-Елизавета,Ім'я
62,Надійка,Надежда,Наденька,Ім'я
63,Настасія,Настасья,Анастасия,Ім'я
64,Ничипір,Никифор,"",Ім'я
65,Онопрій,Онуфрий,"",Ім'я
66,Параскевія,Прасковья,"",Ім'я
67,Теодозій,Феодосий,Теодосий,Ім'я
68,Теодозія,Феодосия,Теодосия,Ім'я
69,Філіп,Филипп,"",Ім'я
70,Євгеній,Евгений,"",Ім'я
71,Євгенія,Евгения,"",Ім'я
72,Євдокія,Евдокия,"",Ім'я
73,Євпраксія,Евпраксия,"",Ім'я
74,Євстафій,Евстафий,"",Ім'я
75,Євстахій,Евстахий,"",Ім'я
76,Євстратій,Евстратий,"",Ім'я
