Президент,,,
,,,
Адміністрація президента / Секретаріат президента,,,
,Рада національної безпеки та оборони,,
,Управління державної охорони,,
,Державне управління справами,,
,Національний інститут стратегічних досліджень,,
,,,
Верховна Рада,,,
,Депутат ВР,,
,Апарат ВР,,
,,,
Генеральна прокуратура,,,
,Прокуратура,,
,Військова прокуратура,,
,Національна академія прокуратури,,
,,,
Центральна виборча комісія,,,
,,,
Національний банк,,,
,,,
Обласна державна адміністрація,,,
Обласна рада,,,
,,,
"Районна, міська державна адміністрація",,,
"Районна, міська, селищна рада",,,
,,,
Служба безпеки,,,
,,,
Служба зовнішньої розвідки,,,
,,,
Пенсійний фонд,,,
,,,
Антимонопольний комітет,,,
,,,
Фонд державного майна,,,
,,,
Конституційний Cуд,,,
Верховний суд,,,
Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,,,
Вищий господарський суд,,,
Вищий адміністративний суд,,,
Загальний апеляційний суд,,,
Апеляційний господарський суд,,,
Апеляційний адміністративний суд,,,
Загальний місцевий суд,,,
Господарський місцевий суд,,,
Адміністративний місцевий суд,,,
,,,
Національна академія наук,,,
,Установа НАН (лінк),,
,,"Академічний науково-освітній комплекс ""РЕСУРС""",
,,Будинок вчених,
,,"Будинок творчості вчених ""Кацівелі""",
,,"Видавничий дім ""Академперіодика""",
,,Вища школа філософії при Інституті філософії імені Г. С. Сковороди,
,,Відділення гібридних моделюючих та керуючих систем в енергетиці Iнституту проблем моделювання в енергетиці ім. Г.Є.Пухова,
,,Відділення керамології Інституту народознавства,
,,Відділення морської геології та осадочного рудоутворення,
,,Відділення фізико-хімії горючих копалин Інституту фізико-органічної хімії і вуглехімії ім.Л.М.Литвиненка,
,,Відділення цільової підготовки Київського Національного університету ім.Тараса Шевченка,
,,"Відділення цільової підготовки НТУУ ""КПІ"" при НАН України",
,,Впровадницьке науково-виробниче мале підприємство «Чиста вода»,
,,Головна астрономічна обсерваторія,
,,"Головна редколегія науково-документальної серії книг ""Реабілітовані історією""",
,,"Дендрологічний парк ""Тростянець""",
,,"Державна установа ""Відділення біотехнічних проблем діагностики Інституту проблем кріобіології і кріомедицини НАН України""",
,,"Державна установа ""Відділення гідроакустики Інституту геофізики ім.С.І.Субботіна""",
,,"Державна установа ""Інститут геохімії навколишнього середовища Національної академії наук України""",
,,"Державна установа ""Інститут економіки природокористування та сталого розвитку НАН України""",
,,"Державна установа ""Інститут економіки та прогнозування НАН України""",
,,"Державна установа ""Інститут технічних проблем магнетизму Національної академії наук України""",
,,"Державна установа ""Інститут харчової біотехнології та геноміки Національної академії наук України""",
,,Державна установа «Інститут всесвітньої історії НАН України»,
,,Державна установа «Інститут еволюційної екології НАН України»,
,,Державна установа «Інститут морської біології НАН України»,
,,"Державне автотранспортне підприємство ""АЛКОН-Авто""",
,,Державне автотранспортне підприємство експедиційних та спеціальних автомобілів,
,,"Державне виробниче підприємство ""Будремкомплект""",
,,"Державне виробниче підприємство ""Будремсервіс""",
,,"Державне госпрозрахункове підприємство ""Алмазінструмент""",
,,Державне житлово-комунальне підприємство НАН України,
,,"Державне зовнішньоторговельне виробниче підприємство ""Фірма ""ІНПАТ""",
,,"Державне зовнішньоторговельне підприємство ""ІНТЕР-ІСМ""",
