"","id","name","position","office","region","year","income","income_family","income_salary","income_salary_family","income_teaching","income_teaching_family","income_royalties","income_royalties_family","income_dividents","income_dividents_family","income_help","income_help_family","income_gifts","income_gifts_family","bank_deps","bank_deps_family","flat_area","flat_area_family","house_area","house_area_family","land_area","land_area_family","cars","cars_family","cars_cargo","cars_cargo_family","cars_info","cars_family_info","cars_info_year","cars_family_info_year"
"1","vulyk_1_1612","Пащенко Віталій Володимирович","старший прокурор відділу прокуратури Тернопільської області","Прокуратура","Тернопільська область","2014",91516,0,91516,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3,0,0,0,0,0,1,0,0,0,"Ford Focus;;;;;",";;;;;","2010;;;;;",";;;;;"
"2","vulyk_1_646","Долинний Зорян Володимирович","провідний спеціаліст відділу акредитації центрів сертифікації ключів Управління центрального засвідчувального органу МЮУ","Міністерство юстиції","Загальнодержавний регіон","2013",51895,0,46815,0,0,0,0,0,0,0,5080,0,0,0,0,0,0,79.84,129.4,0,0,0,1,0,0,0,"Mitsubishi Lancer;;;;;",";;;;;","2006;;;;;",";;;;;"
"3","vulyk_1_172","Карпенко Олександр Леонтійович","суддя Апеляційного суду Кіровоградської області","Загальний апеляційний суд","Кіровоградська область","2013",210481,14462,197840,10251,0,0,0,0,0,0,12617,0,23,0,0,0,68.33,68.33,0,0,1300,0,1,0,0,0,"ВАЗ-111830;;;;;",";;;;;","2006;;;;;",";;;;;"
"4","vulyk_1_1718","Савицька Інна Сергіївна","прокурор прокуратури Бородянського району Київської області","Прокуратура","Київська область","2014",64906,0,64906,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"5","vulyk_1_1838","Моргун Любов Андріївна","головний спеціаліст відділу фінансування та бухгалтерського обліку прокуратури Полтавської області","Прокуратура","Полтавська область","2014",99136,0,97115,0,0,0,0,0,521,0,1500,0,0,0,0,0,0,0,12.44,12.44,120,120,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"6","vulyk_1_1592","Погоріляк Михайло Йосипович","старший прокурор організаційно-контрольного відділу прокуратури Закарпатської області","Прокуратура","Закарпатська область","2014",129193,45535,97169,45535,0,0,0,0,0,0,0,0,0,0,8207,3317,77,0,0,0,1000,0,1,0,0,0,"Chevrolet Aveo;;;;;",";;;;;","2005;;;;;",";;;;;"
"7","vulyk_1_1073","Савченко Віталій Андрійович","стажист на посаді прокурора прокуратури Таращанського району Київської області","Прокуратура","Київська область","2014",38466,1331643,26766,6300,0,0,0,0,0,0,0,0,0,0,0,0,53.7,0,0,92.3,0,32392,1,2,0,1,"Honda Accord;;;;;","ВАЗ 2108;Volkswagen Passat;;;;","2006;;;;;","1992;1996;;;;"
"8","vulyk_1_1530","Козар Віталій Васильович","прокурор відділу процесуального керівництва у кримінальних провадженнях прокуратури Тернопільської області","Прокуратура","Тернопільська область","2014",93868,200397,93868,95097,0,0,0,0,0,0,0,10500,0,0,0,0,48.2,48.2,0,0,881,3485,1,0,0,0,"ВАЗ 21214;;;;;",";;;;;","2006;;;;;",";;;;;"
"9","vulyk_1_1821","Бугайчук Ольга Федорівна","спеціаліст І категорії прокуратури Макарівського району Київської області","Прокуратура","Київська область","2014",89711,0,75931,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,0,0,0,0.12,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"10","vulyk_1_1631","Андрейчик Алла Миколаївна","заступник начальника управління - начальник відділу представництва інтересів громадян і держави в судах прокуратури Закарпатської області","Прокуратура","Закарпатська область","2014",155894,6398,145232,6398,0,0,0,0,0,0,0,0,0,0,7238,0,53,0,0,0,0,0,0,0,0,1,";;;;;",";;;;;",";;;;;",";;;;;"
"11","vulyk_1_1136","Кур'ян Вадим Миколайович","прокурор прокуратури Обухівського району Київської області","Прокуратура","Київська область","2014",81833,36369,81833,36369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"12","vulyk_1_1840","Корж Ірина Володимирівна","головний спеціаліст з питань захисту державних таємниць Бориспільської міжрайонної прокуратури Київської області","Прокуратура","Київська область","2014",74830,76839,74830,76839,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"13","vulyk_1_538","Головчук Світлана Володимирівна","суддя Вищого адміністративного суду України","Вищий адміністративний суд","","2013",292671,0,275780,0,2600,0,0,0,153,0,13764,0,374,0,13167,0,77,0,0,0,1200,0,1,0,0,0,"Hyundai Santa FE;;;;;",";;;;;","2009;;;;;",";;;;;"
"14","vulyk_1_1674","Кравчук Андрій Юрійович","прокурор прокуратури Вишгородського району Київської області","Прокуратура","Київська область","2014",53364.06,172685.91,53364.06,24685.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,1,0,0,0,"Audi A6;;;;;",";;;;;","2006;;;;;",";;;;;"
"15","vulyk_1_1509","Єдинак Ірина Володимирівна","старший прокурор відділу організації участі прокурорів у кримінальному провадженні в судах прокуратури Тернопільської області (прокурор відділу захисту конституційних прав і свобод громадян та інтересів держави прокуратури Тернопільської області; прокурор Тернопільської прокуратури з нагляду за додержанням законів у транспортній сфері)","Прокуратура","Тернопільська область","2014",60864,10493,56904,10493,0,0,0,0,1994,0,0,0,0,0,11000,0,97.5,0,0,0,1250,1250,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"16","vulyk_1_1299","Шиліпук Алла Василівна","старший прокурор прокуратури Печерського району м. Києва","Прокуратура","м. Київ","2014",102538,0,102538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"17","vulyk_1_920","Кацуба Анастасія Миколаївна","старший прокурор Кагарлицької міжрайонної прокуратури Київської області","Прокуратура","Київська область","2014",30937,35695,7067,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,1200,1182,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"18","vulyk_1_1547","Стасюк Володимир Леонідович","старший прокурор Шептівської міжрайонної прокуратури з нагляду за додержанням законів при виконанні судових рішень у кримінальних провадженнях","Прокуратура","Хмельницька область","2014",100972,42828,100272,33900,0,8928,0,0,0,0,400,0,300,0,0,0,53.9,17,0,0,0,1000,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"19","vulyk_1_994","Рибалко Ігор Анатолійович","старший прокурор прокуратури Солом'янського району м. Києва","Прокуратура","м. Київ","2014",120418,1560,108268,0,0,0,0,0,0,0,12150,1560,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Daewoo Lanos;;;;;",";;;;;","2007;;;;;",";;;;;"
"20","vulyk_1_165","Заболотний Ігор Вікторович","головний спеціаліст відділу інформаційних технологій Управління інформаційних технологій та електронного урядування Міністерства регіонального розвитку, будівництва та житлово-комунального господарства України","Міністерство регіонального розвитку, будівництва та житлово-комунального господарства","Загальнодержавний регіон","2013",63222,0,63222,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"21","vulyk_1_893","Ляшенко Олена Анатоліївна","прокурор прокуратури Рокитнянського району Київської області","Прокуратура","Київська область","2014",95299,249351,76451,249351,0,0,0,0,0,0,18848,0,0,0,0,0,57.3,32.2,84.6,0,1230,0,1,1,0,0,"Mazda CX-5;;;;;","Toyota Fortuner;;;;;","2012;;;;;","2007;;;;;"
"22","vulyk_1_1698","Курило Руслан Орестович","заступник прокурора Чигиринського району Черкаської області","Прокуратура","Черкаська область","2014",99420.71,11888,99420.71,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,65.6,0,0,0,0,1,0,0,0,"Chevrolet Lacetti;;;;;",";;;;;","2010;;;;;",";;;;;"
"23","vulyk_1_1453","Гусак Лілія Олегівна","прокурор відділу організації представництва та захисту інтересів громадянина або держави управління представництва, захисту інтересів громадян та держави в суді прокуратури області","Прокуратура","","2014",71769,0,70310,0,0,0,0,0,1459,0,0,0,0,0,0,0,41.7,0,62.6,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"24","vulyk_1_1059","Тимофєєв Сергій Васильович","заступник прокурора Києво-Святошинського району","Прокуратура","Київська область","2014",402952,0,5593,0,0,0,0,0,0,0,0,0,0,0,0,0,24.55,24.55,0,0,4489,1542,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"25","vulyk_1_1434","Ємець Діана Володимирівна","прокурор відділу представництва інтересів громадян і держави в судах прокуратури Тернопільської області","Прокуратура","Тернопільська область","2014",89375,0,89375,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"26","vulyk_1_1218","Горбань Віталій Володимирович","прокурор Бориспільської міжрайонної прокуратури Київської області","Прокуратура","Київська область","2014",75347,0,75347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"27","vulyk_1_552","Гулик Григорій Степанович","суддя Господарського суду","Господарський місцевий суд","Львівська область","2013",457321,60805,288136,36994,8865,0,0,0,34533,0,12120,2506,0,0,51619,0,27.5,0,31.65,34.6,12400,1664,2,0,0,0,"ГАЗ 69;Mitsubishi Outlander;;;;",";;;;;","1972;2013;;;;",";;;;;"
"28","vulyk_1_4","Росоха Світлана Василівна","головний спеціаліст представництва інтересів держави в судах України Управління представництва інтересів держави в судах України Департаменту судової роботи Міністерства юстиції України","Міністерство юстиції","Загальнодержавний регіон","2013",56153,0,50380,0,0,0,0,0,0,0,5773,0,0,0,0,0,0,0,57,0,90,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
"29","vulyk_1_1794","Бутко Юрій Валентинович","старший слідчий слідчого відділу прокуратури Полтавської області","Прокуратура","Полтавська область","2014",105278,0,105278,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,0,0,0,1000,0,0,0,0,0,";;;;;",";;;;;",";;;;;",";;;;;"
