"","region","m_inc","m_finc"
"1","",80140.01,14235.265
"2","Івано-Франківська область",215537,33028
"3","Волинська область",150970,27594.5
"4","Вінницька область",180342,32868
"5","Дніпропетровська область",196847,16360
"6","Донецька область",203262,21785
"7","Житомирська область",213000.425,26274.5
"8","Загальнодержавний регіон",235463,30022.61
"9","Закарпатська область",166286,38534
"10","Запорізька область",186387,18848
"11","Київська область",95901,15941
"12","Кримська Автономна Республіка",159632.085,0
"13","Кіровоградська область",180112.81,25890.515
"14","Луганська область",208540.5,15000
"15","Львівська область",195554,35117.6
"16","Миколаївська область",193957.945,23843.45
"17","Одеська область",199684,16924.5
"18","Полтавська область",122864,24000
"19","Рівненська область",172306,29229
"20","Сумська область",197304.1,31857.315
"21","Тернопільська область",101490.38,18251.06
"22","Харківська область",210117.5,18974
"23","Херсонська область",181200.005,15960
"24","Хмельницька область",129248,30563.07
"25","Черкаська область",116555.5,23750.795
"26","Чернівецька область",135807,34000
"27","Чернігівська область",122080,24117.15
"28","м. Київ",190931.895,0
